Gene,Locus,Molecule D23580,Start,End,Strand,Product,Input 1 (for Macrophage) read counts,Input 2 (for MAcropahge) read counts,Macrophage 1 (output) read counts,Macrophage 2 (output) read counts,Log2 fold-change output (MAcrophage) vs. input,p-value
STMMW_30831,STMMW_30831,D23580,3273637,3274821,-,arylsulfatase regulator,1703,917,1166,934,-0.095498039779051,0.747848918267294
STMMW_30841,STMMW_30841,D23580,3275333,3276016,+,LysR-family transcriptional regulator,2087,1237,1455,1064,-0.203012693207131,0.188422981612247
STMMW_30851,STMMW_30851,D23580,3276120,3276677,-,hypothetical protein,2145,1212,1480,1075,-0.18885557179725,0.220102933873055
STMMW_30861,STMMW_30861,D23580,3276655,3278154,-,possible amino acid transport protein,3355,1893,2772,1799,-0.00567883478843431,0.990157560357242
STMMW_30871,STMMW_30871,D23580,3278363,3278737,-,conserved hypothetical protein,795,433,534,335,-0.301834947551336,0.259333576954964
ordL,STMMW_30881,D23580,3278752,3280053,-,putative oxidoreductase,2952,1685,2189,1732,-0.0298464691417193,0.931497831728884
STMMW_30891,STMMW_30891,D23580,3280215,3281699,+,possible aldehyde dehydrogenase,1788,927,1368,981,0.00991815233242368,0.987550672983929
iraD,STMMW_30901,D23580,3281835,3282215,-,conserved hypothetical protein,629,335,523,315,-0.00549892414976835,0.997057709107175
STMMW_30911,STMMW_30911,D23580,3282215,3282700,-,conserved hypothetical protein,489,254,386,235,-0.0566345343811828,0.948518471706885
STMMW_30921,STMMW_30921,D23580,3283426,3284349,-,conserved hypothetical protein,2956,1668,2032,1525,-0.169929642264,0.199728456282277
STMMW_30931,STMMW_30931,D23580,3284388,3285266,-,possible hydrolase,1246,726,856,579,-0.266192900892972,0.171810183720474
exuT,STMMW_30941,D23580,3285662,3286966,-,hexuronate transporter,1503,843,1050,827,-0.107195413123546,0.715880250021455
uxuA,STMMW_30951,D23580,3287371,3288555,+,D-mannonate hydrolase,1750,953,1338,1036,0.0308884809568102,0.944827142442206
uxuB,STMMW_30961,D23580,3288666,3290138,+,D-mannonate oxidoreductase,1844,1018,1440,1104,0.0447760316006577,0.908495380111655
uxaC,STMMW_30971,D23580,3290150,3291562,+,Glucuronate isomerase,1933,989,1429,1114,0.0295777830567762,0.948824372844439
mcpA,STMMW_30981,D23580,3291862,3292920,-,hypothetical protein,2495,1535,1620,1099,-0.38543256943763,0.00071314644767115
gsp,STMMW_30991,D23580,3293590,3295446,-,glutathionylspermidine synthetase/amidase,1973,1039,1407,957,-0.138638058010452,0.496063087474336
yghU,STMMW_31001,D23580,3295673,3296539,+,possible transferase,636,399,508,374,-0.0429655461254063,0.953791402027558
STMMW_31011,STMMW_31011,D23580,3296607,3297317,-,hypothetical protein,710,329,520,365,0.00463015281970833,0.997153659096994
STMMW_31021,STMMW_31021,D23580,3297317,3298369,-,"possible ABC-transport protein, periplasmic-binding component",1023,593,818,604,0.0177428618233559,0.980055856644447
hybG,STMMW_31031,D23580,3298445,3298693,-,hydrogenase-2 component protein,354,280,349,246,0.0484642282320438,0.967827442341596
hybF,STMMW_31041,D23580,3298721,3299062,-,hydrogenase-2 component protein,577,351,547,304,0.0393697431995996,0.968406579641857
hybE,STMMW_31051,D23580,3299055,3299543,-,hydrogenase-2 component protein,618,317,472,279,-0.114704974106527,0.842550495881924
hybD,STMMW_31061,D23580,3299536,3300030,-,hydrogenase-2 component protein,787,407,623,399,-0.016535838142965,0.986877397488556
hybC,STMMW_31071,D23580,3300030,3301733,-,hydrogenase-2 large subunit,2268,1221,1737,1101,-0.0982047396437552,0.682810109458849
hybB,STMMW_31081,D23580,3301730,3302908,-,probable hydrogenase-2 cytochrome b subunit,1441,758,1000,832,-0.0314479294697404,0.953791402027558
hybA,STMMW_31091,D23580,3302898,3303884,-,hydrogenase-2 small subunit,1542,920,1423,926,0.116260287931463,0.650236681348167
hypO,STMMW_31101,D23580,3303887,3305005,-,hydrogenase-2 small chain protein,1369,872,1110,849,-0.00539510848807409,0.995699311934211
yghW,STMMW_31111,D23580,3305195,3305482,-,conserved hypothetical protein,340,227,258,226,-0.034101199578714,0.979418192004189
mcpB,STMMW_31121,D23580,3305567,3307210,-,methyl-accepting chemotaxis protein,1702,934,1292,967,-0.00943476408975351,0.989090437738042
yqhA,STMMW_31131,D23580,3307517,3308011,-,putative membrane protein,1437,753,1079,631,-0.160533591448641,0.564855845221665
STMMW_31141,STMMW_31141,D23580,3308291,3308806,-,exported protein,1413,820,950,680,-0.255348824645626,0.154233190606508
STMMW_31151,STMMW_31151,D23580,3308898,3309308,+,hypothetical protein,419,231,200,139,-0.734076575802526,0.0118133743028184
STMMW_31161,STMMW_31161,D23580,3309295,3309699,+,hypothetical protein,682,406,586,357,-0.0283818630174319,0.975713670315127
yghA,STMMW_31171,D23580,3309823,3310707,+,possible oxidoreductase,803,449,647,488,0.0691899880628836,0.898455205463776
exbD,STMMW_31181,D23580,3310820,3311245,-,biopolymer transport ExbD protein,222,120,160,123,-0.0547650925171091,0.971189843271751
exbB,STMMW_31191,D23580,3311252,3311986,-,biopolymer transport ExbB protein,428,229,322,216,-0.0816438196718152,0.921745742728247
STMMW_31201,STMMW_31201,D23580,3311979,3312128,-,conserved hypothetical protein,59,35,64,23,0.0174667536791776,0.997057709107175
metC,STMMW_31211,D23580,3312238,3313425,+,beta-cystathionase,1307,759,594,393,-0.874746713844301,0.0000000024
yghB,STMMW_31221,D23580,3313565,3314224,+,DedA-family integral membrane protein,812,437,583,360,-0.207968267932441,0.52502747660674
yqhC,STMMW_31231,D23580,3314288,3315205,-,probable AraC-family trancriptional regulatory protein,802,425,631,369,-0.100594490565607,0.844690282593458
yqhD,STMMW_31241,D23580,3315380,3316543,+,probable alcohol dehydrogenase,1594,843,1159,851,-0.0601662570145794,0.872463570718858
dkgA,STMMW_31251,D23580,3316649,3317476,+,"2,5-diketo-D-gluconic acid reductase A",956,505,740,542,0.0290568555080521,0.969035123826414
STMMW_31261,STMMW_31261,D23580,3317667,3319127,+,possible membrane transport protein,1607,900,1216,881,-0.0512868577319693,0.89508536600112
STMMW_31271,STMMW_31271,D23580,3319172,3319627,+,conserved hypothetical protein,832,498,639,458,-0.0843549763239487,0.863781128460271
STMMW_31272,STMMW_31272,D23580,3319785,3319979,-,hypothetical protein,20,15,14,14,-0.135344706510696,0.978580925806134
ygiR,STMMW_31281,D23580,3320182,3322353,-,conserved hypothetical protein,2510,1302,1940,1328,-0.00804767942337778,0.989090437738042
STMMW_31291,STMMW_31291,D23580,3322841,3323824,+,putative membrane transport protein (periplasmic component),1460,777,1155,843,0.0529953550036931,0.896379857615802
STMMW_31301,STMMW_31301,D23580,3323866,3324348,+,possible membrane transport protein,2108,1304,1566,1364,-0.0120677985117391,0.986877397488556
ygiK,STMMW_31311,D23580,3324359,3325666,+,decarboxylate transporter,3681,2016,2862,1854,-0.0738514355289054,0.711109945277154
sufI,STMMW_31321,D23580,3325711,3327123,-,SufI protein,1186,650,980,613,-0.0095453716091903,0.989355401092487
plsC,STMMW_31331,D23580,3327197,3327934,-,1-acyl-glycerol-3-phosphate acyltransferase,11,1,2,2,-1.11284142508989,NA
parC,STMMW_31341,D23580,3328191,3330449,-,topoisomerase IV subunit A,98,51,112,62,0.415443387230095,0.66186109794071
STMMW_31351,STMMW_31351,D23580,3330560,3331426,-,possible AraC-family transcriptional regulator,1237,594,947,597,-0.0266237030889569,0.971189843271751
ygiW,STMMW_31361,D23580,3331498,3331890,-,possible exported protein,758,389,577,461,0.0875648796169907,0.870062296742665
ygiX,STMMW_31371,D23580,3332042,3332701,+,probable two-component system response regulator,972,578,797,480,-0.102764721561414,0.80861850484178
ygiY,STMMW_31381,D23580,3332698,3334047,+,probable two-component system sensor histidine kinase,1087,563,539,290,-0.801478307912541,0.0000234
mdaB,STMMW_31391,D23580,3334154,3334735,+,putative oxidoreductase,748,376,603,411,0.0703085582792863,0.907892845972391
ygiN,STMMW_31401,D23580,3334767,3335081,+,conserved hypothetical protein,322,147,212,184,0.016265644699306,0.991550050346495
parE,STMMW_31411,D23580,3335206,3337098,-,topoisomerase IV subunit B,17,32,5,8,-1.86397454041634,0.242546055101069
yqiA,STMMW_31421,D23580,3337126,3337707,-,conserved hypothetical protein,613,326,460,340,-0.013780809236217,0.989090437738042
cpdA,STMMW_31431,D23580,3337707,3338534,-,conserved hypothetical protein,1255,656,676,514,-0.460051911915664,0.00507715714611137
yqiB,STMMW_31441,D23580,3338559,3338981,-,conserved hypothetical protein,489,245,414,351,0.301675716239316,0.38991787807067
nudF,STMMW_31451,D23580,3338978,3339610,-,conserved hypothetical protein,948,708,871,655,0.0382818599827595,0.954334265236794
tolC,STMMW_31461,D23580,3339811,3341286,+,outer membrane protein TolC precursor,2980,1592,155,123,-3.82099075804016,3.88E-170
ygiB,STMMW_31471,D23580,3341499,3342170,+,possible lipoprotein,660,353,551,353,0.0377774897057956,0.962512415844579
ygiC,STMMW_31481,D23580,3342176,3343339,+,conserved hypothetical protein,961,553,774,501,-0.0576414568947562,0.916294586175967
ygiD,STMMW_31491,D23580,3343401,3344231,-,conserved hypothetical protein,618,325,449,310,-0.100651392546147,0.863781128460271
ygiE,STMMW_31501,D23580,3344330,3345103,+,putative membrane protein,581,306,470,257,-0.0980768523007843,0.888596410725448
STMMW_31511,STMMW_31511,D23580,3345170,3345346,-,conserved hypothetical protein,192,127,144,138,0.027547444451667,0.989090437738042
assT,STMMW_31521,D23580,3345746,3347542,+,arylsulfate sulfotransferase,4395,2615,3257,2210,-0.17029739161146,0.110289503987865
STMMW_31541,STMMW_31541,D23580,3347562,3348233,+,disulfide isomerase,1596,919,1134,721,-0.250973294469723,0.153488145077228
STMMW_31551,STMMW_31551,D23580,3348248,3348925,+,disulfide isomerase,1164,644,868,608,-0.0875979865684435,0.815555868914695
ribB,STMMW_31561,D23580,3349096,3349749,-,"3,4-dihydroxy-2-butanone 4-phosphate synthase",22,13,11,4,-1.08451932758397,0.653732700081063
yqiC,STMMW_31571,D23580,3350126,3350485,+,conserved hypothetical protein,204,102,161,63,-0.283202837390446,0.768801496191054
glgS,STMMW_31581,D23580,3350559,3350768,-,glycogen synthesis protein GlgS,258,171,223,166,0.0381487985728299,0.97894828338577
STMMW_31591,STMMW_31591,D23580,3351026,3351646,+,putative membrane protein,893,482,634,478,-0.0894783334159082,0.844690282593458
yqiK,STMMW_31601,D23580,3351665,3353344,+,putative exported protein,1282,632,1019,638,0.00594580265249433,0.995699311934211
rfaE,STMMW_31611,D23580,3353805,3355238,-,ADP-heptose synthase,17,10,13,3,-0.652414643972567,0.863781128460271
glnE,STMMW_31621,D23580,3355286,3358129,-,adenyl-transferase,4444,2294,3472,2357,0.0051494446903303,0.989936500126387
ygiF,STMMW_31631,D23580,3358247,3359548,-,conserved hypothetical protein,1400,731,1028,641,-0.148911010812702,0.591221298063183
ygiM,STMMW_31641,D23580,3359790,3360404,+,putative membrane protein,807,413,802,541,0.353043684898388,0.0868137426772553
cca,STMMW_31651,D23580,3360467,3361708,+,tRNA nucleotidyltransferase,86,57,52,64,-0.0718043502115066,0.978580925806134
bacA,STMMW_31661,D23580,3361813,3362637,-,bacitracin resistance protein (putative undecaprenol kinase),1037,592,836,542,-0.0496218150646371,0.924479175495423
folB,STMMW_31671,D23580,3362732,3363094,-,dihydroneopterin aldolase,8,5,4,4,-0.482815471579551,0.937879524585791
ygiH,STMMW_31681,D23580,3363198,3363809,+,putative membrane protein,554,311,410,290,-0.101805853410581,0.865726888915422
gcp,STMMW_31691,D23580,3364060,3365073,-,possible glycoprotease,83,82,146,130,0.871896408282736,0.107939992247944
rpsU,STMMW_31701,D23580,3365301,3365516,+,30S ribosomal subunit protein S21,0,0,0,0,NA,NA
dnaG,STMMW_31711,D23580,3365752,3367497,+,DNA primase,2,10,6,3,-0.576603994012819,0.924479175495423
rpoD,STMMW_31721,D23580,3367512,3369494,+,RNA polymerase sigma-70 factor,14,13,28,17,0.841099462361546,0.673418714606332
mug,STMMW_31731,D23580,3369618,3370124,-,G/U mismatch-specific DNA glycosylase,304,187,341,185,0.259652482770341,0.637758498780309
gpB,STMMW_31741,D23580,3370484,3370702,-,phage late control gene,87,64,53,62,-0.187545646502127,0.916795605312359
gpD,STMMW_31751,D23580,3370769,3371887,-,phage late control gene,1209,659,979,745,0.100381166336865,0.756691093860875
gpF,STMMW_31761,D23580,3371935,3372420,-,phage tail protein,659,312,520,319,0.00804552059946592,0.995699311934211
STMMW_31771,STMMW_31771,D23580,3372435,3374876,-,phage tail tape measure protein,3884,1978,3140,2117,0.0587306292566088,0.783224952812228
gpE',STMMW_31781,D23580,3374869,3374988,-,phage tail protein,135,63,78,76,-0.0945591571340931,0.958803268965307
STMMW_31791,STMMW_31791,D23580,3375021,3375356,-,phage tail protein,541,266,429,305,0.0900808885039926,0.893629301232387
STMMW_31801,STMMW_31801,D23580,3375419,3375937,-,probable major tail sheath protein,956,451,716,499,0.0206773079692038,0.979418192004189
STMMW_31811,STMMW_31811,D23580,3375953,3377140,-,bacteriophage major tail sheath protein,1991,1019,1612,1087,0.0575130098453003,0.863781128460271
STMMW_31821,STMMW_31821,D23580,3377309,3377899,-,phage tail-fibre asembly protein,2566,1685,1822,1447,-0.192975654238246,0.257216599402612
STMMW_31841,STMMW_31841,D23580,3377899,3379992,-,phage variable tail-fibre protein,11124,6477,8920,6376,-0.00488121744851161,0.986877397488556
gpI,STMMW_31851,D23580,3380003,3380533,-,orf38,1129,592,992,588,0.0740881772854471,0.874932416935885
gpJ,STMMW_31861,D23580,3380526,3381434,-,baseplate assembly protein,2061,1031,1626,1181,0.0869836386903908,0.744464543093146
gpW,STMMW_31881,D23580,3381441,3381788,-,baseplate assembly protein,1031,504,959,672,0.313825766062389,0.105784525265178
STMMW_31891,STMMW_31891,D23580,3381785,3382426,-,phage tail protein,1618,808,1314,895,0.0849321621326132,0.783224952812228
STMMW_31901,STMMW_31901,D23580,3382495,3382944,-,tail completion protein,1406,711,1206,820,0.154242391656778,0.516571063586306
STMMW_31911,STMMW_31911,D23580,3382937,3383413,-,putative phage tail completion protein,1398,711,1218,765,0.119772413082448,0.687745210862537
STMMW_31921,STMMW_31921,D23580,3383512,3383925,-,lysozyme,1060,567,850,685,0.141469516443618,0.646955481944113
STMMW_31931,STMMW_31931,D23580,3383922,3384419,-,lysozyme,1197,688,945,705,0.0126764372810659,0.986877397488556
STMMW_31932,STMMW_31932,D23580,3384406,3384702,-,phage holin,743,389,632,376,0.0308598841305702,0.972616881507387
STMMW_31933,STMMW_31933,D23580,3384706,3384894,-,phage tail protein,682,361,408,335,-0.260450953636026,0.42964494647655
STMMW_31941,STMMW_31941,D23580,3384909,3385415,-,putative capsid completion protein,1404,718,979,685,-0.131968594446615,0.634324734794174
STMMW_31951,STMMW_31951,D23580,3385509,3386258,-,"terminase, endonuclease subunit",2503,1271,2054,1550,0.161463565673698,0.298413292147219
STMMW_31971,STMMW_31971,D23580,3386262,3387329,-,putative major capsid protein,2257,1199,2017,1326,0.157691469013787,0.330256776420184
STMMW_31981,STMMW_31981,D23580,3387406,3388260,-,putative capsid scaffolding protein,2095,1083,1719,1354,0.180889617112337,0.279002514425228
STMMW_31991,STMMW_31991,D23580,3388426,3390195,+,"terminase, ATPase subunit",4168,2144,3498,2525,0.153505182804346,0.16214726664173
STMMW_32001,STMMW_32001,D23580,3390195,3391241,+,probable capsid portal protein,1439,823,1260,743,0.00575695557903192,0.995699311934211
STMMW_32002,STMMW_32002,D23580,3391375,3391557,-,hypothetical protein,473,252,395,292,0.139344129738824,0.796271937626221
STMMW_32011,STMMW_32011,D23580,3391674,3392612,+,predicted phage protein,1530,967,919,646,-0.493049448845579,0.000544592133948926
STMMW_32021,STMMW_32021,D23580,3392686,3392895,-,hypothetical protein,668,545,384,263,-0.778840016777661,0.00114003181987846
STMMW_32031,STMMW_32031,D23580,3393075,3393806,-,conserved hypothetical phage protein,2131,1249,1604,1181,-0.079483048813789,0.75452505323042
STMMW_32041,STMMW_32041,D23580,3393886,3394368,-,bacteriophage sos operon Tum protein,613,321,347,340,-0.19312628707294,0.69829088495542
STMMW_32051,STMMW_32051,D23580,3394443,3396686,-,bacteriophage replication protein,3128,1749,2583,1689,0.00497067467120324,0.992449726691493
STMMW_32061,STMMW_32061,D23580,3396677,3396958,-,predicted phage protein,463,232,369,225,-0.018098810531664,0.989090437738042
STMMW_32071,STMMW_32071,D23580,3396955,3397227,-,predicted phage protein,620,335,389,347,-0.141722627195446,0.781666136857654
STMMW_32081,STMMW_32081,D23580,3397224,3397793,-,exonuclease,1548,930,875,745,-0.403280853213336,0.0119067187012417
STMMW_32082,STMMW_32082,D23580,3397805,3398032,-,predicted phage protein,725,366,507,345,-0.138511941915989,0.75452505323042
STMMW_32091,STMMW_32091,D23580,3398032,3398265,-,predicted phage protein,673,436,508,354,-0.187340970790954,0.625262506564723
STMMW_32101,STMMW_32101,D23580,3398330,3398668,-,predicted phage protein,398,199,235,230,-0.102817275625282,0.911554368173351
STMMW_32102,STMMW_32102,D23580,3398632,3398832,-,hypothetical protein,103,37,142,77,0.892335879579416,0.144898901443386
cIIb,STMMW_32111,D23580,3398840,3399349,-,phage regulatory protein,594,300,501,334,0.117282877410439,0.826771554628813
STMMW_32112,STMMW_32112,D23580,3399380,3399643,-,phage regulatory protein,278,242,262,161,-0.191365234109032,0.804403790579428
STMMW_32121,STMMW_32121,D23580,3399766,3400347,+,repressor protein,53,19,29,13,-0.539957557935265,0.78249744208145
STMMW_32131,STMMW_32131,D23580,3400347,3401369,+,bacteriophage integrase,1467,845,1112,931,0.0380144743637418,0.937879524585791
yqjH,STMMW_32151,D23580,3401586,3402353,-,conserved hypothetical protein,568,279,479,347,0.192628367318038,0.641188092275144
yqjI,STMMW_32161,D23580,3402585,3403232,+,conserved hypothetical protein,526,272,321,318,-0.0670615489597728,0.937879524585791
mcpC,STMMW_32171,D23580,3403229,3404794,-,methyl-accepting chemotaxis protein II,2265,1405,1792,1392,-0.0099901640722032,0.986877397488556
aer,STMMW_32181,D23580,3405182,3406702,-,aerotaxis receptor protein,2005,1112,1497,1074,-0.0707570925182139,0.797548121567575
oat,STMMW_32191,D23580,3407222,3408511,+,probable aminotransferase,1176,634,918,738,0.0955332691849914,0.788085859306022
fadH,STMMW_32201,D23580,3408682,3410700,+,"2,4-dienoyl-CoA reductase [NADPH] (ec 1.3.1.34) (2,4-dienoyl coenzyme A reductase)",2421,1306,1915,1247,-0.0350706732314521,0.924479175495423
ygjO,STMMW_32211,D23580,3410781,3411917,-,conserved hypothetical protein,1537,802,1020,761,-0.171445732947369,0.430053802569937
ygjP,STMMW_32221,D23580,3412003,3412500,+,conserved hypothetical protein,735,380,528,381,-0.074833097260913,0.901289837424955
ygjQ,STMMW_32231,D23580,3412652,3413344,+,putative exported protein,686,374,527,404,0.0295447215814476,0.97366595044773
ygjR,STMMW_32241,D23580,3413433,3414431,+,possible oxidoreductase,1153,578,914,643,0.0698012929577721,0.874932416935885
ygjT,STMMW_32251,D23580,3414703,3415671,+,possible drug efflux protein,1478,806,1147,741,-0.0752233741155554,0.83566190913359
ygjU,STMMW_32261,D23580,3415926,3417170,+,probable membrane transport protein,2079,1026,1712,1085,0.0643129943567937,0.852509430219261
yqjA,STMMW_32271,D23580,3417620,3418282,+,putative membrane protein,1023,545,962,654,0.252013952178104,0.225170208546309
yqjB,STMMW_32281,D23580,3418286,3418669,+,putative exported protein,725,405,597,430,0.0683469123724266,0.907892845972391
yqjC,STMMW_32291,D23580,3418814,3419182,+,putative exported protein,515,277,345,261,-0.168486342162243,0.742111434356992
yqjD,STMMW_32292,D23580,3419224,3419529,+,uncharacterized membrane protein YqjD,462,289,283,238,-0.326288244919123,0.389501138033094
yqjE,STMMW_32301,D23580,3419532,3419930,+,putative membrane protein,672,313,486,315,-0.0710191756157664,0.921303115189954
yqjK,STMMW_32311,D23580,3419927,3420226,+,conserved hypothetical protein,486,260,437,273,0.128012958221887,0.826771554628813
yqjF,STMMW_32321,D23580,3420371,3420856,+,putative membrane protein,427,270,370,219,-0.0786438277313369,0.924479175495423
yqjG,STMMW_32331,D23580,3420924,3421910,+,conserved hypothetical protein,1642,899,1280,969,0.0387084025615892,0.925823024211598
yhaH,STMMW_32341,D23580,3422034,3422399,+,putative membrane protein,489,257,352,313,0.0729196764463997,0.925611518031872
yhaJ,STMMW_32351,D23580,3422438,3423334,-,possible LysR-family transcriptional regulator,1203,800,1040,746,0.00850179337716821,0.990976228648781
yhaK,STMMW_32361,D23580,3423439,3424140,+,conserved hypothetical protein,711,347,521,397,0.0306350536428526,0.973443875974837
yhaL,STMMW_32371,D23580,3424164,3424328,+,conserved hypothetical protein,182,89,113,87,-0.202400743727437,0.847744401270023
yhaN,STMMW_32381,D23580,3424441,3425751,-,conserved hypothetical protein,1290,671,944,725,-0.007339520925902,0.992449726691493
yhaO,STMMW_32391,D23580,3425777,3427108,-,putative membrane transport protein,2853,1623,2057,1548,-0.10479678281041,0.561202156340048
tdcG,STMMW_32401,D23580,3427424,3428788,-,L-serine dehydratase,1351,626,975,730,0.0297636242989651,0.962124767743129
tdcE,STMMW_32411,D23580,3428858,3431152,-,probable formate acetyltransferase,2886,1864,2269,1641,-0.101294451297832,0.630443592630463
tdcD,STMMW_32421,D23580,3431186,3432394,-,propionate kinase,2631,1460,1785,1222,-0.241855319787002,0.0429823562894489
tdcC,STMMW_32431,D23580,3432460,3433791,-,threonine/serine transporter,2128,1076,1447,984,-0.180240287355402,0.302592361485208
tdcB,STMMW_32441,D23580,3433812,3434801,-,catabolic threonine dehydratase,1747,1054,1033,713,-0.493983233232962,0.000133693644050721
tdcA,STMMW_32451,D23580,3434899,3435837,-,TDC operon transcriptional activator,2675,1545,2033,1289,-0.158239608626847,0.322854613336927
STMMW_32461,STMMW_32461,D23580,3437231,3437617,+,conserved hypothetical protein,7,6,11,1,-0.133059863938874,0.989090437738042
garK,STMMW_32471,D23580,3437636,3438781,-,conserved hypothetical protein,1041,559,824,451,-0.142396895827085,0.720031707356986
garRb,STMMW_32481,D23580,3438879,3439769,-,2-hydroxy-3-oxopropionate reductase,610,336,502,298,-0.0525766037845275,0.944827142442206
garL,STMMW_32491,D23580,3439795,3440511,-,5-keto-4-deoxy-D-glucarate aldolase,930,469,599,429,-0.220976916758964,0.43231443172713
garD,STMMW_32501,D23580,3441095,3442666,+,D-galactarate dehydratase,1685,963,1208,763,-0.237163465459979,0.177481314466164
STMMW_32511,STMMW_32511,D23580,3442906,3443853,-,putative sugar kinase,924,473,621,493,-0.0951314619538726,0.838058158714956
agaR,STMMW_32521,D23580,3443864,3444697,-,putative transcriptional repressor,812,587,465,315,-0.691595850893959,0.000773578525485454
gatY,STMMW_32531,D23580,3445031,3445885,+,tagatose-bisphosphate aldolase,1549,866,1148,902,-0.0214267503615377,0.971656660522762
STMMW_32541,STMMW_32541,D23580,3445896,3446810,+,putative fructose-1-phosphate kinase,1449,854,969,729,-0.238736676640374,0.197227694149117
STMMW_32551,STMMW_32551,D23580,3446837,3448264,+,PTS system fructose-specific EIIbc component,2326,1503,1698,1396,-0.114562451457986,0.645657433041437
STMMW_32561,STMMW_32561,D23580,3448251,3449057,+,PTS-transport family phosphoryl transfer protein,731,379,511,430,-0.0029466750700486,0.99720355301793
STMMW_32571,STMMW_32571,D23580,3449255,3450526,+,putative sugar kinase,1090,540,871,589,0.0618049170935795,0.903485879758008
gatA,STMMW_32581,D23580,3450541,3451005,+,"PTS system, galactitol-specific IIA component",419,238,388,231,0.0981572600528272,0.895320179735469
gatB,STMMW_32591,D23580,3451036,3451320,+,"PTS system, galactitol-specific IIB component",417,216,312,257,0.0792365755243249,0.924479175495423
gatC,STMMW_32601,D23580,3451324,3452697,+,"PTS system, galactitol-specific IIC component",1944,1088,1673,967,-0.0170294201212117,0.97894828338577
gatD,STMMW_32611,D23580,3452741,3453784,+,galactitol-1-phosphate dehydrogenase,1434,837,1198,960,0.135905013907679,0.597060023115445
gatR,STMMW_32621,D23580,3453895,3454668,+,galactitol utilization operon repressor,555,322,243,189,-0.815085389978034,0.000630434494843453
yraL,STMMW_32631,D23580,3454826,3455689,-,conserved hypothetical protein,1780,923,1255,881,-0.122936385943617,0.610359204150617
yraM,STMMW_32641,D23580,3455753,3457795,+,possible exported protein,3436,1667,2338,1544,-0.171728362878533,0.245540987486139
yraN,STMMW_32651,D23580,3457753,3458148,+,conserved hypothetical protein,428,225,363,249,0.118210344948539,0.86081350235064
yraO,STMMW_32661,D23580,3458170,3458760,+,probable phosphoheptose isomerase,671,308,301,280,-0.484955035232433,0.104236670709369
yraP,STMMW_32671,D23580,3458770,3459345,+,possible lipoprotein,1260,737,1080,684,0.00591292833176576,0.995404859470407
yraR,STMMW_32681,D23580,3459412,3460080,-,conserved hypothetical protein,1541,803,1241,866,0.0613384674142958,0.869868680221559
yhbO,STMMW_32691,D23580,3460178,3460696,+,conserved hypothetical protein,676,374,558,334,-0.0459875526281274,0.9507646572299
yhbP,STMMW_32701,D23580,3460676,3461119,-,conserved hypothetical protein,655,364,455,326,-0.177183100856988,0.650531653142099
yhbQ,STMMW_32711,D23580,3461157,3461474,+,conserved hypothetical protein,586,304,396,343,-0.0300222606206464,0.977313514992845
yhbS,STMMW_32721,D23580,3461461,3461964,-,putative acetyltransferase,1123,602,901,684,0.096642880113048,0.783224952812228
yhbT,STMMW_32731,D23580,3461958,3462482,-,conserved hypothetical protein,1032,512,796,637,0.130299007990368,0.714307627277855
yhbU,STMMW_32741,D23580,3462699,3463694,+,putative protease,2265,1323,1869,1358,0.0462207235692461,0.888214798045612
yhbV,STMMW_32751,D23580,3463685,3464581,+,conserved hypothetical protein,1269,614,915,573,-0.122160054721471,0.732272345364181
yhbW,STMMW_32761,D23580,3464759,3465766,+,possible monooxygenase,1383,666,1019,692,-0.0337397772965779,0.9507646572299
STMMW_32771,STMMW_32771,D23580,3465744,3466463,-,putative membrane protein,1198,619,829,574,-0.157100556015413,0.575590839855426
STMMW_32781,STMMW_32781,D23580,3466622,3467152,+,putative conserved hypothetical protein,355,234,319,157,-0.170056836372596,0.820011313803429
mtr,STMMW_32791,D23580,3467213,3468373,-,probable amino acid permease,830,463,733,556,0.207318631244301,0.444615741962699
deaD,STMMW_32801,D23580,3468611,3470551,-,ATP-dependent RNA helicase (dead-box protein),908,484,432,256,-0.820623445504253,0.0000168
nlpI,STMMW_32811,D23580,3470679,3471563,-,putative exported protein,518,273,204,209,-0.685360486305164,0.0225481940825839
pnp,STMMW_32821,D23580,3471673,3473808,-,polynucleotide phosphorylase,1498,974,583,478,-1.03026518312489,2.91E-12
rpsO,STMMW_32831,D23580,3474050,3474319,-,30S ribosomal subunit protein S15,15,14,10,5,-0.872213236132523,0.759809794520044
truB,STMMW_32841,D23580,3474470,3475414,-,tRNA pseudouridine 55 synthase (psi55 synthase) (p35 protein),1183,588,780,591,-0.137427216047109,0.666038841635383
rbfA,STMMW_32851,D23580,3475414,3475815,-,ribosome-binding factor A (P15B protein),70,48,102,93,0.922096714778296,0.126323183360307
infB,STMMW_32861,D23580,3476036,3478714,-,protein chain initiation factor 2,260,319,299,275,0.0613348492404667,0.986877397488556
nusA,STMMW_32871,D23580,3478739,3480241,-,L factor,93,76,53,29,-0.933595034428795,0.214716930400208
yhbC,STMMW_32881,D23580,3480269,3480691,-,conserved hypothetical protein,6,2,0,1,-2.58801977296715,NA
argG,STMMW_32891,D23580,3481283,3482692,+,argininosuccinate synthetase,3146,1726,326,260,-2.83946850136914,3.84E-130
STMMW_32901,STMMW_32901,D23580,3482778,3483842,-,conserved hypothetical protein,2033,1197,1571,1006,-0.141215826437649,0.487295299694583
secG,STMMW_32911,D23580,3484278,3484610,-,protein-export membrane protein,308,191,96,113,-1.0212487590821,0.00676773111598114
