"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"SL1344_2850","orgA","Bacterial type III secretion apparatus protein (OrgA_MxiK)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.570044931984383,0.581339448067376,0.495192953353805
"SL1344_2851","prgK","Secretory protein of YscJ/FliF family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.363107104651696,-0.826935285044089,-0.704394871868378
"SL1344_2852","prgJ","-","Chromosome","-","no category","no theme","Phox-liver",0.403680810219971,0.781623280543147,0.66579748198576
"SL1344_2854","prgH","Type III secretion system protein PrgH-EprH (PrgH)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.285695179161022,-1.12169061144099,-0.95547152094231
"SL1344_2855","hilD","Helix-turn-helix domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.595705080970488,-0.495057001359998,-0.421696376182481
"SL1344_2856","hilA","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.493418742667906,0.682730213593236,0.581559004703781
"SL1344_2858","sptP","Yersinia virulence determinant (YopE)","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.466903987918535,0.72801975665489,0.62013726162287
"SL1344_2861","sipA","Salmonella invasion protein A","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.249836003070801,0.974869826558041,0.830407553028877
"SL1344_2862","sipD","Invasion plasmid antigen IpaD","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.508335138858277,-0.6022955765248,-0.513043672372086
"SL1344_2863","sipC","Salmonella-Shigella invasin protein C (IpaC_SipC)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.436782531903609,0.685074050275652,0.583555517090482
"SL1344_2864","sipB","Type III cell invasion protein SipB","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.941509443463716,0.0890006514280476,0.0758119814122084
"SL1344_2865","sicA","Tetratricopeptide repeat","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.642757860443801,0.462613591946368,0.394060632938475
"SL1344_2866","spaS","FlhB HrpN YscU SpaS Family","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.395416029622426,0.799057952769521,0.680648576056935
"SL1344_2867","spaR","Bacterial export proteins, family 1","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.596282945570935,-0.506339257077543,-0.431306757084443
"SL1344_2870","spaO","Involved in a secretory pathway responsible for the surface presentation of determinants needed for the entry of Salmonella species into mammalian cells","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.485878503380368,0.74755026988769,0.636773621946288
"SL1344_2871","invJ","Surface presentation of antigens protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.47211421648525,-0.657091383345499,-0.559719495767786
"SL1344_2872","invI","Salmonella surface presentation of antigen gene type M protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.524929581910266,0.66917943971532,0.570016268770167
"SL1344_2873","invC","Necessary for efficient entry of S.typhimurium into cultured epithelial cells","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.637557017615151,0.454786241859048,0.387393188264696
"SL1344_2874","invB","Involved in a secretory pathway responsible for the surface presentation of determinants needed for the entry of Salmonella species into mammalian cells","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.387253792459789,0.836403948725425,0.712460410080626
"SL1344_2875","invA","FHIPEP family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.415206242305499,0.743636984426742,0.633440231461322
"SL1344_2876","invE","HrpJ-like domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.552169449822037,0.609478071373423,0.519161820466736
"SL1344_2877","invG","Bacterial type II/III secretion system short domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.508847663273483,0.624265335576292,0.531757815899327
"SL1344_2878","invF","helix_turn_helix, arabinose operon control protein","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.655507421362728,-0.4220321072217,-0.359492764992996
"SL1344_2879","invH","InvH outer membrane lipoprotein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.419320363205833,0.77017324974068,0.656044187954338
"SL1344_2880","SL1344_2880","-","Chromosome","-","no category","no theme","Phox-liver",0.428970233761458,-0.729268386619449,-0.621200861834161
"SL1344_2882","SL1344_2882","salmonella pathogenicity island 1 protein","Chromosome",NA,"no category","no theme","Phox-liver",0.378848228825842,-0.837405779939809,-0.713313783715362
"SL1344_2883","SL1344_2883","salmonella pathogenicity island 1 protein","Chromosome",NA,"no category","no theme","Phox-liver",0.445684472373585,-0.705859866207472,-0.601261161552362
"SL1344_2885","SL1344_2885","Acetyltransferase (GNAT) domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.157069453373036,0.13379392497109
"SL1344_2886","pphB","Calcineurin-like phosphoesterase","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.624769651261158,0.531416473549113,0.45266787566625
"SL1344_2887","SL1344_2887","-","Chromosome","-","no category","no theme","Phox-liver",0.955884133083973,0.0656668200590748,0.055935902286537
"SL1344_2888","mutS","that it carries out the mismatch recognition step. This protein has a weak ATPase activity","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.845209007284881,-0.728493033734031,-0.620540405561155
"SL1344_2890","SL1344_2890","Major Facilitator Superfamily","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.632467649963777,0.538744660331402
"SL1344_2892","SL1344_2892","Na+-H+ antiporter family","Chromosome","EG","Amino acid transport and metabolism;Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.292580904778385,0.249224446773385
"SL1344_2893","SL1344_2893","NAD(P)H-binding","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.436729881207225,-0.372012531425181
"SL1344_2894","hyi","Xylose isomerase-like TIM barrel","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.519382917314361,-0.597938275857489,-0.509332063615327
"SL1344_2896","ygbK","Putative sugar-binding N-terminal domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.428970233761458,0.800845003510658,0.682170810505739
"SL1344_2901","SL1344_2901","Decarboxylase involved in the decarboxylation and detoxification of phenolic derivatives under both aerobic and anaerobic conditions. It is able to catalyze the reversible decarboxylation of 4-hydroxybenzoate and vanillate","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.993483449275163,0.0131107266209729,0.0111678976158203
"SL1344_2903","rpoS","Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.616537903452396,0.480510503946691,0.409305469219267
"SL1344_2904","nlpD","Lysin motif","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.883895060002843,-0.169955198717182,-0.144770180434822
"SL1344_2911","ygbE","Protein of unknown function (DUF3561)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.0608065251207618,-0.0517958360779304
"SL1344_2912","cysC","Catalyzes the synthesis of activated sulfate","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.515752876033022,0.43932540744063
"SL1344_2913","cysN","Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.636013789127362,-0.541765310540599
"SL1344_2914","cysD","Phosphoadenosine phosphosulfate reductase family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.937814114460251,-0.734605828467284,-0.625747368355902
"SL1344_2915","iap","Peptidase family M28","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.677388299920022,0.402686775283734,0.343014144648517
"SL1344_2917","SL1344_2917","CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.999204941602324,0.0608243256165813,0.0518109987855797
"SL1344_2919","SL1344_2919","CRISPR-associated protein (Cas_Cas5)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.924244559390392,0.107116996594429,0.0912437338878767
"SL1344_2920","yghJ","CT1975-like protein","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.984725476753349,-0.0271052220486613,-0.0230886016804964
"SL1344_2923","ygcB","DEAD-like helicases superfamily","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.499293171977348,-0.732239312727972,-0.623731537635994
"SL1344_2924","sopD","Salmonella outer protein D","Chromosome","KLT","Transcription;Replication, recombination and repair ;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-liver",0.374506361282995,0.816001981427957,0.695081733175339
"SL1344_2925","cysH","Reduction of activated sulfate into sulfite","Chromosome","EH","Amino acid transport and metabolism;Coenzyme transport and metabolism","Metabolism","Phox-liver",0.779982282522059,0.326317130798472,0.27796142901919
"SL1344_2927","cysJ","Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.111098397187556,-1.33665210549761,-1.13857868398298
"SL1344_2929","SL1344_2929","Metallo-beta-lactamase superfamily","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.49936576037566,0.425366636491408
"SL1344_2930","ygcF","Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.206759089242813,-1.07577503055791,-0.916359996379448
"SL1344_2933","mazG","MazG nucleotide pyrophosphohydrolase domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.518025546860551,-0.605858247475396,-0.516078404585285
"SL1344_2937","relA","In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance","Chromosome","KT","Transcription;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-liver",0.351496079289169,-1.0867803665715,-0.925734493261327
"SL1344_2938","rumA","Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.999204941602324,-0.629475002167637,-0.536195481696708
"SL1344_2939","barA","Uncharacterised signal transduction histidine kinase domain (DUF2222)","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.914986557880096,-0.127152864698309,-0.10831056245482
"SL1344_2940","SL1344_2940","Glycerate kinase family","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.98613227381742,0.0255887625882232,0.0217968606136341
"SL1344_2942","ygcY","Mandelate racemase / muconate lactonizing enzyme, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.301172481303726,0.935128489936625,0.796555334815903
"SL1344_2943","gudT","Major Facilitator Superfamily","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.811290582321958,0.253682722399223,0.216090438963546
"SL1344_2945","yqcB","RNA pseudouridylate synthase","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.999204941602324,0.372135678404766,0.316990299299662
"SL1344_2947","syd","Interacts with the SecY protein in vivo. May bind preferentially to an uncomplexed state of SecY, thus functioning either as a chelating agent for excess SecY in the cell or as a regulatory factor that negatively controls the translocase function","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.18648680349617,-0.158852029209062
"SL1344_2948","queF","Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.582688022003276,-0.598819289718529,-0.510082523363491
"SL1344_2949","ygdH","Possible lysine decarboxylase","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.163545853822372,-0.139310612125678
"SL1344_2950","sdaC","Serine transporter","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.522164621329285,0.693406029796033,0.590652812069685
"SL1344_2951","sdaB","Serine dehydratase beta chain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.661450539492798,0.457861349680683,0.390012607485496
"SL1344_2952","exo","Has flap endonuclease activity. During DNA replication, flap endonucleases cleave the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.845559466702626,0.238792352140807,0.203406616371926
"SL1344_2955","fucP","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.536197526881379,0.596948734664207,0.508489158789936
"SL1344_2956","fucI","Converts the aldose L-fucose into the corresponding ketose L-fuculose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0404795296616229,-0.0344810212177254
"SL1344_2957","fucK","Belongs to the FGGY kinase family","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0999981122498763,-0.085179770097216
"SL1344_2958","fucU","Involved in the anomeric conversion of L-fucose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.251189919782697,0.213967035341257
"SL1344_2959","fucR","M protein trans-acting positive regulator (MGA) HTH domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.094184854281006,0.0802279568463134
"SL1344_2964","csdA","Aminotransferase class-V","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.906568341447729,0.146360597740142,0.124671974163311
"SL1344_2966","SL1344_2966","EamA-like transporter family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.33036337654604,0.949928133141473,0.809161874852976
"SL1344_2967","ygdL","ThiF family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.7500629562998,0.35368419771726,0.301273073768568
"SL1344_2968","mltA","Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.412772621306311,0.802676982882269,0.683731315781146
"SL1344_2969","amiC","AMIN domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.761194573362028,0.32106006931676,0.273483391601042
"SL1344_2970","argA","Amino acid kinase family","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.314929498685923,-0.268261287051762
"SL1344_2971","recD","A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",1.1e-09,-3.88484440038673,-3.30916399763144
"SL1344_2973","ptr","Middle or third domain of peptidase_M16","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.59181527367509,0.521314672297853,0.444063022146616
"SL1344_2977","comO","Prokaryotic N-terminal methylation motif","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.393152697202256,0.791260035528427,0.674006202687189
"SL1344_2978","comN","Prokaryotic N-terminal methylation motif","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.132108196846619,-0.112531582668619
"SL1344_2981","ptsP","GAF domain","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.639230562207096,0.92338001406702,0.786547821163395
"SL1344_2982","nudH","Accelerates the degradation of transcripts by removing pyrophosphate from the 5'-end of triphosphorylated RNA, leading to a more labile monophosphorylated state that can stimulate subsequent ribonuclease cleavage","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",4.58e-13,-4.47584537261003,-3.81258677040758
"SL1344_2983","mutH","Sequence-specific endonuclease that cleaves unmethylated GATC sequences. It is involved in DNA mismatch repair","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.999204941602324,-0.42164708975241,-0.359164801806695
"SL1344_2984","ygdQ","Integral membrane protein TerC family","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.250080443051473,-0.213021967771804
"SL1344_2986","tas","Aldo/keto reductase family","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.877632536577194,0.17652422107302,0.1503657642058
"SL1344_2987","ygeD","Catalyzes the facilitated diffusion of 2-acyl-glycero-3- phosphoethanolamine (2-acyl-GPE) into the cell","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.977283591666363,0.0425963360292629,0.0362841460535757
"SL1344_2988","aas","Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.391223878800484,0.333249891452901
"SL1344_2989","galR","Bacterial regulatory proteins, lacI family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.372510996404584,-0.834932855348484,-0.711207312468881
"SL1344_2990","SL1344_2990","helix_turn _helix lactose operon repressor","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.623705460104972,0.469337845082701,0.399788444427527
"SL1344_2992","lysR","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.933136608865202,0.0987416172230522,0.0841094703174989
"SL1344_2994","araE","Fungal trichothecene efflux pump (TRI12)","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.983015402524908,0.0300789216496816,0.025621639981461
"SL1344_2995","kduD","Enoyl-(Acyl carrier protein) reductase","Chromosome","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.951332884877654,0.635443777550028,0.541279766823646
"SL1344_2996","kduI","Catalyzes the isomerization of 5-dehydro-4-deoxy-D- glucuronate to 3-deoxy-D-glycero-2,5-hexodiulosonate","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.00550855842758934,-0.00469226598254831
"SL1344_2998","SL1344_2998","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.884134218279805,-0.160206742251196,-0.13646631087276
"SL1344_2999","SL1344_2999","Chlorhexidine efflux transporter","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.472499912039318,-0.718899501091203,-0.612368502246678
"SL1344_3000","SL1344_3000","transporter","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.59181527367509,-0.6472540992061,-0.551339961569369
"SL1344_3001","yohL","Metal-sensitive transcriptional repressor","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.147268512863998,0.125445348777869
"SL1344_3002","yohM","Belongs to the NiCoT transporter (TC 2.A.52) family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.387197325746109,0.816584419007653,0.695577861532347
"SL1344_3003","STM3025","luxR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.325230692859957,0.277035986210866
"SL1344_3004","STM3025.1N","CaiF/GrlA transcriptional regulator","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.677421843802348,-0.405507667950188,-0.345417019896773
"SL1344_3005","STM3026","Fimbrial protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.400670443633267,-0.795524152083175,-0.677638435932688
"SL1344_3006","stdC","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.746292188930284,0.335955353992439,0.286171400361012
"SL1344_3007","stdB","PapC C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.956130247658857,0.0634322608943182,0.0540324739953412
"SL1344_3008","stdA","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.354585828987126,0.850082191127434,0.724111725459718
"SL1344_3009","SL1344_3009","YfdX protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.387197325746109,-0.787994126974021,-0.671224256772773
"SL1344_3010","SL1344_3010","Enterobacterial Ail/Lom protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.219330949326191,-1.04965073206928,-0.89410695890558
"SL1344_3013","SL1344_3013","Protein of unknown function (DUF1460)","Chromosome","I","Lipid transport and metabolism","Metabolism","Phox-liver",0.704900209907409,0.382659973992183,0.325955039317266
"SL1344_3014","SL1344_3014","Peptidase family M23","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.788196461202155,0.274476728969009,0.233803060323721
"SL1344_3015","idi","Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP)","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.472671773535968,-0.720907936632118,-0.614079315318856
"SL1344_3018","recJ","DHH family","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.00631119340110491,-1.90734845126585,-1.62470569612485
"SL1344_3019","dsbC","Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.899792962965739,-0.140809428644497,-0.119943411826491
"SL1344_3020","xerD","Phage integrase, N-terminal SAM-like domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",7.91e-17,-5.57113057926987,-4.7455658036621
"SL1344_3021","fldB","Low-potential electron donor to a number of redox enzymes","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.920138143399428,-0.122299457183947,-0.104176363048851
"SL1344_3026","yqfB","ASCH domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.388891803018964,0.879780256250412,0.749408946603115
"SL1344_3027","bglA","Glycosyl hydrolase family 1","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.682465190678341,-0.412007547418918,-0.350953706803647
"SL1344_3028","SL1344_3028","Putative MetA-pathway of phenol degradation","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.464002045538299,-0.689576211792065,-0.587390520314846
"SL1344_3029","gcvP","The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.0240006458098211,-1.76932223623531,-1.50713306401044
"SL1344_3031","gcvT","The glycine cleavage system catalyzes the degradation of glycine","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.717495151316029,-0.378081533600578,-0.322055060695807
"SL1344_3032","visC","FAD binding domain","Chromosome","CH","Energy production and conversion;Coenzyme transport and metabolism","Metabolism","Phox-liver",0.000393999641199078,-2.22569367981075,-1.89587654894296
"SL1344_3036","ygfE","Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division","Chromosome","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.412526847208824,-0.351396053521205
"SL1344_3037","ygfA","5-formyltetrahydrofolate cyclo-ligase family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.32578095739993,0.277504709129259
"SL1344_3038","serA","D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain","Chromosome","EH","Amino acid transport and metabolism;Coenzyme transport and metabolism","Metabolism","Phox-liver",0.566495250827069,-0.559480519909831,-0.476573217109398
"SL1344_3040","iciA","Controls the transcription of genes involved in arginine and lysine metabolism","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.41833817016728,-0.35634621850357
"SL1344_3041","yggE","Protein of unknown function (DUF541)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.238664205238667,1.02492972334951,0.873049262995687
"SL1344_3043","yggB","Conserved TM helix","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,0.382012725948134,0.325403704513563
"SL1344_3046","epd","Catalyzes the NAD-dependent conversion of D-erythrose 4- phosphate to 4-phosphoerythronate","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.105195836121237,-1.37723405639202,-1.17314694901827
"SL1344_3048","SL1344_3048","ECF transporter, substrate-specific component","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.407951571271981,-0.347498770425922
"SL1344_3049","SL1344_3049","Cobalt transport protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0371095556660064,-0.0316104309263516
"SL1344_3050","SL1344_3050","ATPases associated with a variety of cellular activities","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.668813482872548,0.418972463157561,0.356886518013939
"SL1344_3052","tktA","Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.182333463377938,-1.38878086496392,-1.18298267968739
"SL1344_3054","speB","Catalyzes the formation of putrescine from agmatine","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.00655078884090256,-1.74571702471258,-1.48702581952988
