,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_2874,yfbQ,aminotransferase AlaT,23,1465,,22,1370,,23,1400
STM14_2875,-,hypothetical protein,8,954,,8,838,,8,821
STM14_2876,yfbS,putative response regulator,23,1729,,23,1748,,24,1718
STM14_2877,yfbT,putative phosphatase,7,121,,6,119,,6,107
STM14_2878,yfbU,hypothetical protein,9,501,,8,424,,10,486
STM14_2879,-,hypothetical protein,7,480,,6,456,,7,467
STM14_2880,-,hypothetical protein,3,373,,3,392,,3,384
STM14_2881,-,hypothetical protein,2,85,,3,77,,2,68
STM14_2882,ackA,acetate kinase,10,177,,10,225,,14,184
STM14_2883,pta,phosphate acetyltransferase,16,296,,16,176,,19,264
STM14_2884,yfcC,hypothetical protein,19,1316,,19,1262,,20,1350
STM14_2885,-,putative transketolase,16,835,,16,750,,17,744
STM14_2886,-,putative transketolase,6,416,,6,362,,7,376
STM14_2887,ulaA_2,ascorbate-specific PTS system enzyme IIC,17,904,,15,941,,16,890
STM14_2888,-,putative cytoplasmic protein,2,45,,2,54,,2,35
STM14_2889,-,putative phosphotransferase system enzyme II A component,6,406,,6,520,,5,423
STM14_2890,-,hypothetical protein,2,33,,3,50,,3,46
STM14_2891,-,putative transcriptional regulator,17,1244,,17,1169,,15,1185
STM14_2892,-,putative NTP pyrophosphohydrolase,5,275,,4,277,,6,272
STM14_2893,yfcE,phosphodiesterase,11,668,,11,717,,12,667
STM14_2894,yfcF,putative glutathione S-transferase,11,520,,10,641,,11,599
STM14_2895,yfcG,putative glutathione S-transferase,16,1529,,16,1363,,15,1341
STM14_2896,yfcH,putative sugar nucleotide epimerase,8,406,,8,431,,8,447
STM14_2897,hisP,histidine/lysine/arginine/ornithine transporter subunit,8,368,,10,301,,8,326
STM14_2898,hisM,histidine/lysine/arginine/ornithine transport protein,19,1769,,19,1752,,19,1878
STM14_2899,hisQ,histidine/lysine/arginine/ornithine transport protein,15,751,,14,834,,14,785
STM14_2900,hisJ,histidine transport protein,10,1059,,7,1064,,9,1010
STM14_2901,argT,lysine/arginine/ornithine transport protein,15,729,,11,610,,15,644
STM14_2902,-,conserved hypothetical protein,2,224,,2,254,,2,315
STM14_2903,ubiX,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,8,111,,8,139,,9,120
STM14_2904,-,putative amino acid transporter,27,1648,,27,1645,,26,1488
STM14_2905,-,putative cytoplasmic protein,27,1830,,27,1806,,29,1685
STM14_2906,-,putative amino acid transporter,30,1206,,30,1138,,32,1278
STM14_2907,-,putative diaminopimelate decarboxylase,30,2361,,28,2274,,30,2194
STM14_2908,-,putative regulatory protein,25,1767,,25,1646,,28,1740
STM14_2909,purF,amidophosphoribosyltransferase,22,1477,,21,1570,,23,1500
STM14_2910,cvpA,colicin V production protein,8,520,,7,567,,8,605
STM14_2911,-,hypothetical protein,2,38,,1,44,,2,40
STM14_2912,dedD,hypothetical protein,5,183,,5,148,,4,174
STM14_2913,folC,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,1,75,,1,83,,1,67
STM14_2914,accD,acetyl-CoA carboxylase subunit beta,0,0,,0,0,,0,0
STM14_2915,dedA,hypothetical protein,14,776,,14,833,,14,891
STM14_2916,truA,tRNA pseudouridine synthase A,13,485,,12,568,,12,571
STM14_2917,usg,putative semialdehyde dehydrogenase,10,492,,11,525,,12,346
STM14_2918,pdxB,erythronate-4-phosphate dehydrogenase,26,1576,,25,1500,,26,1619
STM14_2919,flk,flagella biosynthesis regulator,16,797,,15,721,,15,740
STM14_2920,-,hypothetical protein,10,277,,10,237,,10,271
STM14_2921,-,hypothetical protein,2,19,,2,20,,2,13
STM14_2922,-,putative cytoplasmic protein,9,785,,8,636,,9,721
STM14_2923,-,putative regulatory protein,3,22,,2,25,,2,37
STM14_2924,-,putative cytoplasmic protein,11,1175,,11,1051,,11,1044
STM14_2925,-,putative periplasmic protein,9,605,,10,575,,10,524
STM14_2926,-,putative inner membrane protein,11,426,,12,529,,12,427
STM14_2927,fabB,3-oxoacyl-(acyl carrier protein) synthase I,1,14,,1,10,,1,6
STM14_2928,mnmC,5-methylaminomethyl-2-thiouridine methyltransferase,26,1670,,26,1896,,26,1637
STM14_2929,yfcL,putative cytoplasmic protein,3,247,,3,228,,4,235
STM14_2930,yfcM,putative cytoplasmic protein,10,460,,9,489,,11,483
STM14_2931,yfcA,hypothetical protein,11,569,,11,547,,10,519
STM14_2932,mepA,penicillin-insensitive murein endopeptidase,5,313,,6,276,,5,275
STM14_2933,aroC,chorismate synthase,6,91,,3,110,,6,144
STM14_2934,yfcB,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,18,674,,18,762,,18,690
STM14_2935,yfcN,hypothetical protein,5,233,,5,223,,5,289
STM14_2936,sixA,phosphohistidine phosphatase,5,201,,3,178,,4,179
STM14_2937,fadJ,multifunctional fatty acid oxidation complex subunit alpha,27,1909,,28,2012,,30,1977
STM14_2938,fadI,3-ketoacyl-CoA thiolase,20,711,,19,809,,19,742
STM14_2939,yfcZ,putative cytoplasmic protein,5,226,,4,239,,5,208
STM14_2940,-,hypothetical protein,2,15,,2,11,,2,19
STM14_2941,-,hypothetical protein,4,668,,4,699,,4,726
STM14_2942,fadL,long-chain fatty acid outer membrane transporter,24,978,,25,1013,,25,988
STM14_2943,-,hypothetical protein,19,1843,,19,1868,,19,1701
STM14_2944,yfdC,hypothetical protein,14,1420,,15,1313,,17,1331
STM14_2946,pgtE,outer membrane protease,15,742,,15,801,,15,787
STM14_2947,pgtA,activator,14,573,,13,607,,13,563
STM14_2948,pgtB,phosphoglycerate transport system sensor protein,27,1567,,28,1537,,27,1518
STM14_2949,pgtC,phosphoglycerate transport regulatory protein precursor,21,1461,,20,1497,,24,1629
STM14_2950,pgtP,transporter,32,1816,,33,1771,,33,1848
STM14_2951,-,putative inner membrane protein,9,225,,9,301,,9,250
STM14_2952,-,hypothetical protein,1,9,,1,13,,1,27
STM14_2953,ddg,lipid A biosynthesis palmitoleoyl acyltransferase,12,526,,13,544,,13,461
STM14_2954,yfdZ,aminotransferase,16,792,,16,973,,17,842
STM14_2955,-,hypothetical protein,5,392,,5,319,,5,340
STM14_2956,glk,glucokinase,21,913,,20,991,,20,1051
STM14_2957,-,hypothetical protein,8,430,,8,318,,7,362
STM14_2958,-,indolepyruvate decarboxylase,17,1027,,16,965,,17,1036
STM14_2959,-,hypothetical protein,6,461,,5,438,,7,500
STM14_2960,-,putative oxidoreductase,13,505,,13,570,,13,563
STM14_2961,ypeC,putative periplasmic protein,2,104,,2,73,,2,108
STM14_2962,mntH,manganese transport protein MntH,16,659,,13,645,,16,631
STM14_2963,nupC,nucleoside transport,16,846,,16,844,,17,802
STM14_2964,yfeA,hypothetical protein,23,1508,,25,1463,,25,1373
STM14_2967,yfeC,putative negative regulator,5,145,,5,167,,4,165
STM14_2968,yfeD,putative negative regulator,4,218,,4,249,,4,224
STM14_2969,gltX,glutamyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_2974,xapR,DNA-binding transcriptional activator XapR,13,669,,13,831,,13,715
STM14_2975,-,hypothetical protein,2,173,,2,174,,2,170
STM14_2976,xapB,xanthosine permease,21,1385,,20,1218,,23,1270
STM14_2977,-,xanthosine phosphorylase,12,515,,10,472,,12,456
STM14_2978,yfeN,hypothetical protein,18,1038,,19,1122,,19,1117
STM14_2979,yfeR,putative transcriptional regulator,13,765,,14,841,,13,753
STM14_2980,yfeH,putative Na+-dependent transporter,15,872,,16,864,,17,756
STM14_2981,-,putative cytoplasmic protein,2,90,,2,113,,2,87
STM14_2982,ligA,NAD-dependent DNA ligase LigA,0,0,,0,0,,0,0
STM14_2983,zipA,cell division protein ZipA,0,0,,0,0,,0,0
STM14_2984,cysZ,putative sulfate transport protein CysZ,16,1121,,18,1061,,20,1150
STM14_2985,cysK,cysteine synthase A,9,299,,8,380,,9,321
STM14_2986,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2987,-,hypothetical protein,3,116,,2,103,,3,137
STM14_2988,-,hypothetical protein,4,104,,5,107,,5,133
STM14_2989,ptsH,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),2,15,,1,4,,2,14
STM14_2990,ptsI,phosphoenolpyruvate-protein phosphotransferase,11,340,,12,285,,13,317
STM14_2991,crr,glucose-specific PTS system component,3,47,,3,114,,4,75
STM14_2992,-,putative cytoplasmic protein,1,35,,1,36,,1,52
STM14_2993,pdxK,pyridoxal kinase,14,518,,15,501,,15,453
STM14_2994,ptsJ,putative regulatory protein,21,687,,19,839,,20,781
STM14_2995,yfeJ,glutamine amidotransferase,10,386,,9,352,,10,385
STM14_2996,yfeK,hypothetical protein,6,149,,5,158,,5,195
STM14_2997,yfeL,putative membrane carboxypeptidase,16,874,,17,1006,,16,974
STM14_2998,cysM,cysteine synthase B,6,560,,7,462,,8,576
STM14_2999,cysA,sulfate/thiosulfate transporter subunit,16,1205,,15,1228,,15,1256
STM14_3000,cysW,sulfate/thiosulfate transporter permease subunit,10,444,,10,539,,10,469
STM14_3001,cysU,sulfate/thiosulfate transporter subunit,13,733,,12,760,,13,749
STM14_3002,cysP,thiosulfate transporter subunit,15,1036,,15,1047,,15,1034
STM14_3003,ucpA,short chain dehydrogenase,12,500,,11,573,,11,519
STM14_3004,-,putative iron-dependent peroxidase,7,317,,8,326,,9,305
STM14_3005,-,hypothetical protein,7,187,,7,192,,7,172
STM14_3006,yfeZ,putative inner membrane protein,6,571,,6,477,,7,503
STM14_3007,-,putative acetyltransferase,7,370,,9,438,,8,394
STM14_3008,amiA,N-acetylmuramoyl-l-alanine amidase I,9,535,,12,539,,11,552
STM14_3009,hemF,coproporphyrinogen III oxidase,9,458,,9,416,,9,492
STM14_3010,-,putative inner membrane protein,11,731,,12,765,,11,761
STM14_3011,-,putative cytoplasmic protein,22,1305,,23,1281,,22,1341
STM14_3012,eutR,transcriptional regulator EutR,15,1510,,17,1416,,16,1415
STM14_3013,eutK,putative carboxysome structural protein,2,49,,2,53,,3,49
STM14_3014,eutL,putative carboxysome structural protein,10,1112,,10,1018,,10,992
STM14_3015,eutC,ethanolamine ammonia-lyase small subunit,6,260,,7,231,,6,243
STM14_3016,eutB,ethanolamine ammonia-lyase heavy chain,15,625,,14,708,,16,602
STM14_3017,eutA,reactivating factor for ethanolamine ammonia lyase,13,554,,14,497,,13,489
STM14_3018,eutH,putative transport protein,17,547,,17,525,,16,681
STM14_3019,eutG,putative transport protein,9,236,,8,273,,9,277
STM14_3020,eutJ,ethanolamine utilization protein,10,744,,10,712,,10,795
STM14_3021,eutE,putative aldehyde oxidoreductase,11,516,,10,373,,11,487
STM14_3022,eutN,putative detox protein,5,209,,5,188,,5,216
STM14_3023,eutM,putative detox protein,2,127,,2,132,,2,141
STM14_3024,eutD,phosphotransacetylase,3,247,,3,273,,3,233
STM14_3025,eutT,putative cobalamin adenosyltransferase,7,356,,7,380,,7,379
STM14_3026,eutQ,putative ethanolamine utilization protein,7,534,,8,682,,7,569
STM14_3027,eutP,putative ethanolamine utilization protein,3,124,,3,112,,3,99
STM14_3028,eutS,putative carboxysome structural protein,2,35,,2,48,,2,44
STM14_3029,tnpA_8,transposase,0,0,,0,0,,0,0
STM14_3030,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3031,maeB,malic enzyme,29,2160,,27,2076,,27,2166
STM14_3032,-,conserved hypothetical protein,6,224,,7,190,,7,243
STM14_3033,talA,transaldolase A,17,1174,,15,1209,,17,1209
STM14_3034,tktB,transketolase,24,1597,,25,1449,,27,1608
STM14_3035,-,putative cytoplasmic protein,4,184,,3,229,,3,151
STM14_3036,-,hypothetical protein,5,350,,5,449,,5,382
STM14_3037,ypfG,putative periplasmic protein,12,578,,10,533,,12,530
STM14_3038,yffH,putative pyrophosphohydrolase,10,815,,9,738,,11,760
STM14_3039,-,hypothetical protein,34,2159,,33,2018,,33,2044
STM14_3040,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3041,aegA,putative oxidoreductase Fe-S binding subunit,25,1279,,25,1440,,29,1308
STM14_3042,narQ,nitrate/nitrite sensor protein NarQ,24,1788,,23,1710,,26,1798
STM14_3043,-,hypothetical protein,5,343,,5,331,,5,324
STM14_3044,acrD,aminoglycoside/multidrug efflux system,50,3019,,48,3194,,50,2995
STM14_3045,yffB,hypothetical protein,2,171,,2,121,,3,180
STM14_3046,dapE,succinyl-diaminopimelate desuccinylase,1,20,,1,37,,1,17
STM14_3047,-,hypothetical protein,1,29,,1,59,,1,33
STM14_3048,ypfI,putative acetyltransferase,15,780,,12,722,,15,776
STM14_3049,-,putative inner membrane protein,11,724,,12,788,,13,807
STM14_3050,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,11,365,,12,422,,12,412
STM14_3051,nlpB,lipoprotein,12,653,,10,590,,12,529
STM14_3052,dapA,dihydrodipicolinate synthase,0,0,,0,0,,0,0
STM14_3053,gcvR,glycine cleavage system transcriptional repressor,21,1257,,20,1196,,20,1174
STM14_3054,bcp,thioredoxin-dependent thiol peroxidase,3,65,,3,93,,3,37
STM14_3055,-,putative glycerate kinase,2,116,,2,111,,2,92
STM14_3056,-,hypothetical protein,3,84,,3,68,,3,60
STM14_3057,perM,putative permease,17,842,,16,928,,16,865
STM14_3058,-,hypothetical protein,14,455,,15,424,,15,501
STM14_3059,yfgD,putative arsenate reductase,4,142,,4,205,,4,163
STM14_3060,yfgE,DNA replication initiation factor,7,241,,9,238,,9,233
STM14_3061,uraA,uracil transporter,14,654,,16,539,,14,557
STM14_3062,upp,uracil phosphoribosyltransferase,10,644,,10,778,,10,759
STM14_3063,-,hypothetical protein,1,9,,0,0,,1,5
STM14_3064,purM,phosphoribosylaminoimidazole synthetase,13,830,,14,797,,13,770
STM14_3065,purN,phosphoribosylglycinamide formyltransferase,7,349,,8,347,,7,292
STM14_3066,ppk,polyphosphate kinase,45,2651,,43,2342,,46,2375
STM14_3067,ppx,exopolyphosphatase,22,899,,24,898,,23,945
STM14_3068,-,putative diguanylate cyclase,53,1860,,47,1819,,52,1758
STM14_3069,-,putative cytoplasmic protein,0,0,,0,0,,0,0
STM14_3070,-,putative inner membrane protein,3,112,,4,193,,4,147
STM14_3071,-,putative inner membrane protein,1,13,,1,13,,1,7
STM14_3072,-,putative inner membrane protein,5,391,,7,446,,7,339
STM14_3073,-,putative cytoplasmic protein,11,663,,12,689,,10,659
STM14_3074,-,putative transposase,4,201,,4,318,,4,174
STM14_3075,guaA,bifunctional GMP synthase/glutamine amidotransferase protein,3,52,,4,57,,4,86
STM14_3076,guaB,inositol-5-monophosphate dehydrogenase,13,282,,12,291,,13,282
STM14_3077,xseA,exodeoxyribonuclease VII large subunit,13,479,,13,451,,14,484
STM14_3078,shdA,AIDA autotransporter-like protein,84,5221,,78,4980,,91,5333
STM14_3079,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3080,-,hypothetical protein,7,378,,7,327,,7,311
STM14_3081,-,hypothetical protein,5,210,,5,196,,5,228
STM14_3083,ratA,putative outer membrane protein,62,4692,,65,4977,,71,4976
STM14_3084,sinI,putative outer membrane protein,11,830,,12,806,,13,816
STM14_3085,sinH,intimin-like protein,31,1680,,34,1673,,31,1617
STM14_3086,-,hypothetical protein,1,52,,1,71,,1,46
STM14_3087,-,hypothetical protein,1,101,,1,86,,1,76
STM14_3088,yfgJ,putative cytoplasmic protein,1,106,,1,45,,1,84
STM14_3089,engA,GTP-binding protein EngA,3,37,,1,22,,5,34
STM14_3090,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3091,yfgL,outer membrane protein assembly complex subunit YfgL,12,484,,10,415,,13,381
STM14_3092,yfgM,putative inner membrane protein,3,135,,3,74,,3,85
STM14_3093,hisS,histidyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_3094,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,0,0,,1,5,,1,2
STM14_3095,yfgA,hypothetical protein,4,231,,3,175,,4,156
STM14_3096,-,type IV pilus biogenesis/stability protein PilW,4,194,,4,208,,4,165
STM14_3097,yfgB,hypothetical protein,19,1543,,20,1551,,19,1483
STM14_3098,ndk,nucleoside diphosphate kinase,3,150,,3,209,,3,194
STM14_3099,-,hypothetical protein,4,472,,4,480,,4,520
STM14_3100,-,putative polyferredoxin,12,476,,11,600,,12,501
STM14_3101,-,putative dimethylsulfoxide reductase,11,360,,11,409,,11,401
STM14_3102,-,putative anaerobic dimethylsulfoxide reductase,9,1182,,9,1064,,9,1080
STM14_3103,-,putative anaerobic dimethylsulfoxide reductase,25,1346,,23,1513,,26,1315
STM14_3104,pbpC,penicillin-binding protein 1C,12,739,,13,854,,13,705
STM14_3105,-,putative inner membrane lipoprotein,66,4571,,65,4330,,66,4380
STM14_3106,sseA,3-mercaptopyruvate sulfurtransferase,8,795,,8,865,,8,754
STM14_3107,-,hypothetical protein,2,8,,1,14,,2,10
STM14_3108,-,putative cytoplasmic protein,18,640,,16,622,,17,693
STM14_3109,-,hypothetical protein,1,89,,1,44,,1,51
STM14_3110,sseB,enhanced serine sensitivity protein SseB,9,483,,8,490,,10,505
STM14_3111,pepB,aminopeptidase B,20,960,,19,852,,21,944
STM14_3112,yfhJ,hypothetical protein,4,235,,4,275,,4,221
STM14_3113,fdx,electron carrer protein,2,74,,2,84,,2,60
STM14_3114,hscA,chaperone protein HscA,6,89,,4,80,,6,87
STM14_3115,hscB,co-chaperone HscB,2,22,,2,29,,2,17
STM14_3116,iscA,iron-sulfur cluster assembly protein,3,133,,4,73,,3,100
STM14_3117,nifU,scaffold protein,4,90,,5,107,,5,66
STM14_3118,nifS,cysteine desulfurase,8,78,,7,117,,6,79
STM14_3119,-,hypothetical protein,1,8,,1,10,,1,6
STM14_3120,yfhP,DNA-binding transcriptional regulator IscR,3,67,,1,49,,2,26
STM14_3121,-,putative rRNA methylase,2,165,,3,113,,2,128
STM14_3122,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3123,-,hypothetical protein,3,54,,2,58,,3,45
STM14_3124,suhB,inositol monophosphatase,2,20,,1,11,,3,10
STM14_3125,-,putative hydrolase,16,727,,17,906,,17,904
STM14_3126,asrA,anaerobic sulfide reductase,17,1009,,17,1023,,17,1021
STM14_3127,asrB,anaerobic sulfite reductase subunit B,15,736,,13,735,,15,651
STM14_3128,asrC,anaerobic sulfide reductase,8,779,,8,778,,8,762
STM14_3129,-,putative inner membrane protein,11,441,,11,411,,11,425
STM14_3130,-,hypothetical protein,14,1100,,14,1163,,13,1221
STM14_3131,csiE,stationary phase inducible protein CsiE,9,817,,9,911,,10,950
STM14_3132,hcaT,putative 3-phenylpropionic acid transporter,12,781,,11,800,,12,743
STM14_3133,glyA,serine hydroxymethyltransferase,2,8,,2,8,,2,9
STM14_3134,-,conserved hypothetical protein,3,13,,4,46,,2,11
STM14_3135,hmpA,nitric oxide dioxygenase,14,688,,14,650,,14,777
STM14_3136,cadC,DNA-binding transcriptional activator CadC,26,1329,,25,1330,,24,1388
STM14_3137,cadB,lysine/cadaverine antiporter,16,986,,15,1121,,18,1052
STM14_3138,cadA,lysine decarboxylase 1,51,2858,,48,2998,,49,2769
STM14_3139,yjdL,putative di-/tripeptide transport protein,30,1869,,30,1998,,30,1967
STM14_3140,glnB,nitrogen regulatory protein P-II 1,6,260,,6,349,,6,340
STM14_3141,yfhA,putative transcriptional regulator,17,831,,16,955,,18,849
STM14_3142,yfhG,hypothetical protein,12,534,,12,505,,13,477
STM14_3143,yfhK,putative sensor kinase,19,705,,20,599,,22,732
STM14_3144,-,hypothetical protein,2,90,,2,93,,2,136
STM14_3145,purG,phosphoribosylformylglycinamidine synthase,39,2218,,40,2288,,43,2141
STM14_3146,-,putative periplasmic protein,6,242,,5,212,,6,248
STM14_3147,yfhD,putative transglycosylase,24,2171,,23,2315,,26,2247
STM14_3148,yfhC,tRNA-specific adenosine deaminase,2,54,,2,27,,2,53
STM14_3149,yfhB,hypothetical protein,10,427,,10,524,,9,426
STM14_3150,-,putative phosphotransferase system IIB component,19,1310,,19,1379,,21,1385
STM14_3151,murQ,N-acetylmuramic acid-6-phosphate etherase,15,869,,14,749,,15,826
STM14_3152,yfhH,putative DNA-binding transcriptional regulator,8,253,,8,311,,9,284
STM14_3153,-,2-dehydropantoate 2-reductase,17,1026,,18,1050,,19,979
STM14_3154,-,putative permease,20,742,,21,770,,23,825
STM14_3155,-,putative transcriptional regulator,12,749,,12,796,,12,782
STM14_3156,yfhL,putative ferredoxin,3,140,,4,159,,3,172
STM14_3157,acpS,4'-phosphopantetheinyl transferase,0,0,,0,0,,0,0
STM14_3158,pdxJ,pyridoxal phosphate biosynthetic protein PdxJ,1,370,,1,388,,1,155
STM14_3159,recO,DNA repair protein RecO,14,760,,14,684,,14,632
STM14_3160,era,GTP-binding protein Era,0,0,,1,3,,0,0
STM14_3161,rnc,ribonuclease III,1,6,,1,4,,2,4
STM14_3162,lepB,lsignal peptidase I,2,61,,3,75,,3,65
STM14_3163,lepA,GTP-binding protein LepA,19,798,,19,971,,18,831
STM14_3164,gogB,leucine-rich repeat-containing protein,13,661,,11,581,,12,674
STM14_3165,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3166,-,transposase-like protein,14,763,,11,808,,14,759
STM14_3167,-,PagK-like protein,0,0,,0,0,,0,0
STM14_3168,-,phage tail assembly-like protein,3,47,,4,47,,4,65
STM14_3169,-,phage tail assembly-like protein,17,437,,18,380,,19,477
STM14_3170,-,tail fiber-like protein,21,1006,,21,1048,,22,957
STM14_3171,-,conserved hypothetical protein,3,241,,3,224,,3,180
STM14_3172,-,host specificity protein-J-like protein,1,8,,1,4,,1,1
STM14_3173,-,tail assembly protein I-like protein,0,0,,0,0,,0,0
STM14_3174,-,tail assembly protein K-like protein,0,0,,0,0,,0,0
STM14_3175,-,phage tail component L-like protein,0,0,,0,0,,0,0
STM14_3176,-,phage tail component M-like protein,0,0,,0,0,,0,0
STM14_3177,-,phage tail component H-like protein,0,0,,0,0,,0,0
STM14_3178,-,minor tail-like protein,0,0,,0,0,,0,0
STM14_3179,-,minor tail-like protein,0,0,,0,0,,0,0
STM14_3180,-,major tail-like protein,0,0,,0,0,,0,0
STM14_3181,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3182,-,putative virulence protein,0,0,,0,0,,0,0
STM14_3183,-,minor tail protein Z-like protein,0,0,,0,0,,0,0
STM14_3184,-,minor capsid protein FII,0,0,,0,0,,0,0
STM14_3186,-,phage head-like protein,0,0,,0,0,,0,0
STM14_3187,-,phage head-like protein,0,0,,0,0,,0,0
STM14_3188,-,head-tail preconnector-like protein,0,0,,0,0,,0,0
STM14_3189,-,head-tail preconnector-like protein,0,0,,0,0,,0,0
STM14_3190,-,head-to-tail joining-like protein,0,0,,0,0,,0,0
STM14_3191,-,terminase-like large protein,1,9,,1,11,,1,12
STM14_3192,-,DNA packaging-like protein,0,0,,0,0,,0,0
STM14_3193,-,hypothetical protein,3,67,,3,73,,3,81
STM14_3194,-,endopeptidase-like protein,5,259,,5,325,,5,221
STM14_3195,-,morphogenesis-like protein,2,97,,2,104,,2,89
STM14_3196,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3197,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3198,-,hypothetical protein,10,404,,10,401,,12,334
STM14_3199,-,hypothetical protein,4,537,,4,511,,4,517
STM14_3201,-,antirepressor-like protein,5,155,,4,117,,4,124
STM14_3202,-,hypothetical protein,3,138,,3,150,,4,220
STM14_3203,-,antiterminator-like protein,16,1030,,15,1088,,16,1086
STM14_3204,-,hypothetical protein,3,190,,3,158,,3,186
STM14_3205,-,hypothetical protein,3,48,,3,60,,3,49
STM14_3206,-,hypothetical protein,1,68,,1,67,,1,45
STM14_3207,-,hypothetical protein,4,55,,4,50,,4,52
STM14_3208,-,putative bacteriophage protein,1,46,,1,30,,1,34
STM14_3209,-,prophage DinI,0,0,,1,3,,0,0
STM14_3210,-,hypothetical protein,2,23,,2,8,,2,27
STM14_3211,-,hypothetical protein,13,457,,12,478,,13,523
STM14_3212,-,Eaa1,9,638,,10,610,,11,665
STM14_3213,-,phage replication protein P,3,244,,3,293,,3,242
STM14_3214,-,phage replication protein O,14,830,,14,781,,14,790
STM14_3215,-,prophage cI protein,4,104,,4,73,,4,82
STM14_3216,-,conserved hypothetical protein,1,34,,1,41,,1,54
STM14_3217,-,putative regulator,0,0,,0,0,,1,2
STM14_3218,-,chromosome partitioning ATPase,12,371,,12,335,,11,390
STM14_3219,-,hypothetical protein,4,59,,4,57,,6,72
STM14_3220,-,hypothetical protein,6,156,,7,207,,7,200
STM14_3221,-,Gifsy-1 prophage protein,0,0,,0,0,,0,0
STM14_3222,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3223,-,hypothetical protein,1,14,,2,15,,1,36
STM14_3224,-,exodeoxyribonuclease VIII-like protein,4,204,,4,290,,4,273
STM14_3225,-,enterohemolysin 1-like protein,3,119,,3,129,,3,121
STM14_3226,-,putative cytoplasmic protein,2,31,,2,27,,2,27
STM14_3227,-,excisionase-like protein,2,231,,2,268,,2,292
STM14_3228,-,integrase-like protein,25,2032,,27,1916,,26,1713
STM14_3229,-,hypothetical protein,5,294,,4,257,,5,347
STM14_3230,-,hypothetical protein,3,202,,3,192,,3,176
STM14_3231,rseC,SoxR reducing system protein RseC,6,407,,6,341,,6,383
STM14_3232,rseB,periplasmic negative regulator of sigmaE,10,619,,10,508,,10,544
STM14_3233,rseA,anti-RNA polymerase sigma factor SigE,8,399,,8,397,,9,245
STM14_3234,rpoE,RNA polymerase sigma factor RpoE,13,1128,,13,1116,,13,868
STM14_3235,-,hypothetical protein,4,585,,5,535,,5,411
STM14_3236,-,hypothetical protein,6,498,,5,508,,6,423
STM14_3237,nadB,L-aspartate oxidase,25,1773,,23,1609,,24,1673
STM14_3238,yfiC,putative transferase,13,918,,13,892,,13,932
STM14_3239,-,putative methyltransferase,2,87,,2,50,,2,104
STM14_3240,srmB,ATP-dependent RNA helicase SrmB,15,818,,15,842,,15,816
STM14_3241,yfiE,putative transcriptional regulator,16,1185,,15,1244,,16,1181
STM14_3242,yfiK,neutral amino-acid efflux protein,9,371,,10,405,,11,338
STM14_3243,yfiD,autonomous glycyl radical cofactor GrcA,6,123,,4,195,,6,152
STM14_3244,ung,uracil-DNA glycosylase,9,1165,,9,1032,,9,942
STM14_3245,yfiF,putative methyltransferase,13,799,,13,917,,13,806
STM14_3246,trxC,thioredoxin 2,4,52,,3,45,,3,38
STM14_3247,yfiP,putative cytoplasmic protein,12,482,,12,481,,12,459
STM14_3248,yfiQ,putative acetyl-CoA synthetase,32,1673,,31,1691,,31,1615
STM14_3249,-,hypothetical protein,3,27,,3,35,,2,33
STM14_3250,pssA,phosphatidylserine synthase,4,20,,3,16,,2,11
STM14_3251,yfiM,hypothetical protein,3,156,,3,146,,3,138
STM14_3252,kgtP,alpha-ketoglutarate transporter,28,3198,,29,3170,,29,3292
STM14_3253,-,putative cytoplasmic protein,9,471,,8,582,,9,446
STM14_3255,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3259,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3260,-,hypothetical protein,0,0,,0,0,,0,0
STM14_3261,clpB,protein disaggregation chaperone,37,1628,,35,1774,,35,1592
STM14_3262,yfiH,hypothetical protein,12,252,,8,208,,9,201
STM14_3263,rluD,23S rRNA pseudouridine synthase D,22,1108,,21,1040,,21,1128
STM14_3264,yfiO,outer membrane protein assembly complex subunit YfiO,3,13,,4,22,,0,0
STM14_3266,yfiA,translation inhibitor protein RaiA,9,411,,10,353,,10,421
STM14_3267,-,hypothetical protein,5,629,,4,540,,5,596
STM14_3268,pheA,bifunctional chorismate mutase/prephenate dehydratase,15,1165,,15,1197,,15,1098
